population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,avg_violent_crime_1000,avg_homicide_1000,avg_rape_1000,avg_robbery_1000,avg_aggravated_assault_1000,avg_property_crime_1000,avg_burglary_1000,avg_larceny_1000,avg_motor_vehicle_theft_1000,avg_arson_1000
220097000,1207653,21456,76360,480499,629338,11040763,3327712,6600307,1112744,97747,4.550412097856778,0.08428790949424214,0.31841822957725363,1.627024511007699,2.520681447777583,48.14376203596647,13.771163425190036,30.081999668269244,4.290598942507185,0.3954763383716785
225389264,1344053,23044,82946,565616,672447,12062840,3795130,7136056,1131654,140117,4.8521940021167795,0.08622824028102137,0.32865647012703925,1.8584801548704462,2.57882913683827,51.02182047736737,15.201969321337328,31.656669873965505,4.1631812820645475,0.5372048753804298
229146000,1361239,22516,82446,592629,663648,12060886,3779610,7193495,1087781,124102,4.892783469777418,0.08436446840285265,0.33130865855472635,1.9409064274158203,2.536203915404018,50.338048319496004,14.940459647490338,31.504256501110678,3.893332170894977,0.46166319322393073
231535000,1321896,21012,78726,552839,669319,11651261,3447087,7141839,1062335,107461,4.703628763817333,0.07899012967331419,0.31448333510530363,1.7768343176601002,2.5333209813786146,47.7861543383165,13.431722588182675,30.689394109714993,3.6650376404188245,0.41916004984470406
233980000,1257651,19308,78891,506316,653136,10849862,3129807,6712144,1007911,103727,4.3957996100123635,0.07095825324993069,0.31728384413475325,1.5830307735465625,2.424526739081117,43.984360473182306,12.110097030836565,28.475354346106258,3.398909096239475,0.38245726573433325
236161000,1272794,18689,84202,484776,685127,10607670,2984381,6591179,1032110,103504,4.386551963401261,0.06617261797526978,0.332595863515872,1.4631331241124048,2.524650357797712,42.36866936383293,11.40499390727313,27.532384367666857,3.4312910888929418,0.37117439226547205
238739000,1328757,18976,88669,497868,723244,11102550,3073345,6926343,1102862,103698,4.504807264288275,0.06682092898406937,0.33750059888906647,1.4607094394925675,2.6397762969225727,43.644654201482766,11.63371785613961,28.36744938552264,3.6434869598205193,0.3695869819572545
241058000,1489169,20613,91459,542775,834322,11722700,3241410,7257153,1224137,111163,4.790385017580623,0.0725439983204317,0.34387917018640235,1.540421306889501,2.8335405421842865,45.42221000309515,12.06298664330966,29.420716977294486,3.938506382491025,0.3841581035482014
243399000,1483999,20096,91111,517704,855088,12024709,3236184,7499851,1288674,102914,4.680228967678365,0.07048963755896076,0.3424933722657232,1.4525317960529025,2.8147141618007776,46.06172597422386,11.970527363137254,30.030904140349513,4.060294470737087,0.3513057853635833
245810000,1566221,20675,92486,542968,910092,12356865,3218077,7705872,1432916,100212,4.94889418757991,0.07490751071298046,0.3445388407835508,1.527395148224788,3.0020526878585923,46.265787163649655,11.737151599441816,30.13774455565716,4.390891008550675,0.3389030946811103
248243000,1646037,21500,94504,578326,951707,12605412,3168170,7872442,1564800,102187,5.156089858584613,0.07861988947549207,0.35838432658589864,1.6183986388137728,3.1006870037094503,46.59677909623161,11.391790256313909,30.51227885328645,4.6927099866312325,0.3361834068559217
248709873,1820127,23438,102555,639271,1054863,12655486,3073909,7945670,1635907,104088,5.718177588755797,0.08435327567115815,0.39817999395564013,1.7618260261343155,3.473818292994686,47.34813238588651,11.187033604173227,31.257172618980004,4.90392616273328,0.34089782873959634
252181000,1911767,24703,106593,687732,1092739,12961116,3157150,8142228,1661738,103299,5.951990271772003,0.08742024117469956,0.4127196431126374,1.8894288014614353,3.56242158602323,47.764019268759895,11.371014855542185,31.504523506634477,4.888480906583213,0.3330329864042575
255081000,1932274,23760,109062,672478,1126974,12505917,2979884,7915199,1610834,103979,6.06838569454605,0.08358285395584131,0.42574556510853273,1.8534661082657853,3.70559116721589,46.02233497492863,10.555867963638494,30.70728002803821,4.759186983251921,0.3246602957718578
257904000,1926017,24526,106014,659870,1135607,12218777,2834808,7820909,1563060,97138,6.141082421321214,0.08737817443773409,0.4160639657426047,1.8425399546443237,3.7951003264965526,44.897516928806745,10.054037207309388,30.196142567782267,4.647337153715102,0.3049156151268008
260341000,1857670,23326,102216,618949,1113179,12131873,2712774,7879812,1539287,103187,5.942431501454703,0.08301415766013244,0.39624701267383716,1.7668568633667578,3.6963134677539764,44.885819099347124,9.675384568537531,30.45446041241539,4.755974118394204,0.3338309445121899
262754000,1798792,21606,97470,580509,1099207,12063935,2593784,7997710,1472441,96547,5.810252460760624,0.07877221233536154,0.37892815890155673,1.7400096610617812,3.6125424284619254,45.51972863140312,9.414631315335257,31.323535648950564,4.781561667117283,0.3229466396001184
265284000,1688540,19645,96252,535594,1037049,11805323,2506400,7904685,1394238,91719,5.443496339024996,0.07548835181179336,0.36792950676886216,1.6231507352650494,3.376927745179291,44.13535420046077,9.052448427543217,30.50010424585441,4.582801527063151,0.29638761447434536
267637000,1636096,18211,96153,498534,1023201,11558475,2461026,7743760,1354189,87332,5.2564894622164156,0.06839323029862193,0.3676434114393302,1.4937636014485025,3.326699704507575,43.127155277852346,8.835662599048149,29.83537489259771,4.456994231903688,0.27421696659335676
270296000,1533887,16974,93144,447186,976583,10951827,2332735,7376311,1242781,80428,4.930525455227093,0.06359556339402869,0.35649780552554855,1.3198222658623673,3.190609820445147,40.49255550269605,8.333281604399621,28.08839026550437,4.070883632792072,0.2629325194493075
272690813,1426044,15522,89411,409371,911740,10208334,2100739,6955520,1152075,78498,4.58383194559357,0.05851309201424945,0.34903211616519597,1.2116463538504803,2.964640383563643,37.26791849828165,7.422738821983798,26.038564670128853,3.8066150061689976,0.2626558155087319
281421906,1425486,15586,90178,408016,911706,10182584,2050992,6971590,1160002,69467,4.4333283945147866,0.053697070898501086,0.34034447310411353,1.1748937525411625,2.8643930979710106,36.094004943468576,7.021575300895059,25.38377104669272,3.688658595880799,0.21452449824043643
285317559,1439480,16037,90863,423557,909023,10437189,2116531,7092267,1228391,79040,4.435196961452322,0.05390601087223245,0.33254749766073055,1.206159707063643,2.8425837458557157,36.358921692439935,7.113129655378941,25.337663531482473,3.9081285055785133,0.2601766938938328
287973924,1423677,16229,95235,420806,891407,10455277,2151252,7057379,1246646,77149,4.377116874213525,0.054726921965589474,0.3470003695919535,1.1833367248839013,2.792052857772081,36.21152105513929,7.189548704612203,24.997456305976023,4.024516044551088,0.25053295734503217
290788976,1383676,16528,93883,414235,859030,10442862,2154834,7026802,1261226,72812,4.277482171527513,0.055373965801720465,0.34593650681372823,1.1696314587487129,2.7065402401633505,35.56550609139022,7.132177758964565,24.40684928520629,4.026479047219354,0.23223197231050627
293656842,1360088,16148,95089,401470,847381,10319386,2144446,6937089,1237851,69305,4.163061289324445,0.05269238520084846,0.3460862856919596,1.0998386521868695,2.664443966244767,34.58630046543741,7.036296150918912,23.718298300697697,3.8317060138208032,0.22669948471293394
296507061,1390745,16740,94347,417438,862220,10174754,2155448,6783447,1235859,68514,4.207186670077602,0.05316231115381023,0.339972808799632,1.1336529115535856,2.6803986385705727,33.78976237208473,6.910704110041653,23.057296955386658,3.8217613066564424,0.22303406558489233
299398484,1435123,17309,94472,449246,874096,10019601,2194993,6626363,1198245,72875,4.431436400683579,0.054600908076662236,0.34586098298946993,1.2303141907233441,2.8006603188941024,32.950297679962745,7.010765052346178,22.272760676622877,3.6667719509936947,0.24476274605703155
301621157,1422970,17128,92160,447324,866358,9882212,2190198,6591542,1100472,68013,4.377789863153381,0.05504820901901231,0.3382009132017049,1.2284815919603496,2.756059148972314,32.189070451593274,6.889772882762928,21.93628184629172,3.3630157225386212,0.2260364828924974
304059724,1394461,16465,90750,443563,843683,9774152,2228887,6586206,959059,65767,4.278189279122785,0.05289065345536087,0.33676935255816465,1.2177172627294113,2.6708120103798465,31.431455375511103,6.884361118914783,21.67317078121713,2.87392347537919,0.21485205316124587
307006550,1325896,15399,89241,408742,812514,9337060,2203313,6338095,795652,59876,4.065283234603076,0.047736831551694045,0.3295879959882162,1.1286916171006411,2.5592667899625257,29.868157746250464,6.80360618083144,20.687099435551453,2.377452129867578,0.19433131067675258
309330219,1251248,14722,85593,369089,781844,9112625,2168459,6204601,739565,55938,3.8527182147074934,0.04465226725475085,0.3127978770890756,1.0267234131889555,2.4685446571747107,28.982020087739272,6.6691723989249345,20.11257965891477,2.200268029899563,0.18251375601285375
311587816,1206031,14661,84175,354772,752423,9052743,2185140,6151095,716508,54504,3.7087113865338606,0.045138656459314044,0.3097755456407211,0.977976598972655,2.375820585461172,28.859603395748398,6.707995476182405,20.035045844447346,2.1165620751186496,0.17885448222186756
313873685,1217067,14856,85141,355051,762009,9001992,2109932,6168874,723186,55280,3.727846530038253,0.04401940156742911,0.3138532964857398,0.9732840998322526,2.396503044840042,28.68851232692013,6.479647904298361,20.137188187883414,2.071676234738344,0.1838091060701606
316497531,1199684,14319,113695,345093,726777,8651892,1932139,6019465,700288,47156,3.7035341469462932,0.043126570624886965,0.4217023790914521,0.9388644623320532,2.3028057441125567,27.5282389751238,5.95352984173458,19.557970167099942,2.0167389662892634,0.1478799866051489
318907401,1186185,14164,118027,322905,731089,8209010,1713153,5809054,686803,46149,3.6414889642764523,0.04318191919380665,0.41480725579298505,0.8863003631399206,2.2971994261497395,26.092116021994343,5.273196939352023,18.794239800080728,2.024679282561585,0.1492814797554868
320903064,1234854,15873,126134,328109,764057,8024115,1587564,5723488,713063,44009,3.8197180991237745,0.05024491008160881,0.442671219547264,0.9033741604456043,2.4141005436157443,25.239747405947288,4.927373089740912,18.242035929935184,2.070338386271196,0.14162888065570334
323405935,1285606,17413,132414,332797,802982,7928530,1516405,5644835,767290,45905,3.9417176716243225,0.052602898912351544,0.45862813838647765,0.905235022717267,2.5252516116082266,25.037642787071995,4.709250514643037,18.04186495385597,2.2865273185729804,0.14839400850012896
325147121,1283875,17294,135666,320596,810319,7682988,1397045,5513000,772943,42990,3.9029749782504704,0.05232868035183752,0.466933295921346,0.8515900290588843,2.5321229729184043,24.157456686536545,4.357036823911956,17.453567323067965,2.3468525395566235,0.1371405557374517
326687501,1252399,16374,143765,281278,810982,7219084,1235013,5232167,751904,39306,3.8214381504577246,0.04959003626310565,0.49338970848431685,0.7258578411663046,2.5526005645439986,22.610953697052416,3.847413717278877,16.47063386007986,2.2929061196936757,0.12185856134101485
328329953,1250393,16669,143224,268483,822017,6995235,1118096,5152267,724872,35807,3.8026925940440517,0.05203297585618954,0.4907591352547192,0.6893488130164787,2.570551669916664,21.5686132289244,3.4560256385674237,15.951127598097104,2.161459992259867,0.11312962147944838
329484123,1313105,21570,126430,243600,921505,6452038,1035314,4606324,810400,43533,3.9610423048277137,0.06465132743126477,0.4370221903844444,0.6260829815667089,2.833285805445296,19.818616978591468,3.1526625846734193,14.289437816745044,2.3765165771730064,0.1323873996125676
